texto_cv,area
"Especialista en ciberseguridad con conocimientos en redes, firewalls y auditorías de sistemas.",Tecnología / Informática
"Especialista en ciberseguridad con conocimientos en redes, firewalls y auditorías de sistemas.",Tecnología / Informática
"Especialista en ciberseguridad con conocimientos en redes, firewalls y auditorías de sistemas.",Tecnología / Informática
"Desarrollador con experiencia en Python, Java y bases de datos SQL. Trabajé en proyectos de desarrollo web y aplicaciones móviles.",Tecnología / Informática
"Especialista en ciberseguridad con conocimientos en redes, firewalls y auditorías de sistemas.",Tecnología / Informática
"Especialista en ciberseguridad con conocimientos en redes, firewalls y auditorías de sistemas.",Tecnología / Informática
"Ingeniero de software con 5 años de experiencia en backend usando Node.js, MongoDB y AWS.",Tecnología / Informática
"Ingeniero de software con 5 años de experiencia en backend usando Node.js, MongoDB y AWS.",Tecnología / Informática
"Especialista en ciberseguridad con conocimientos en redes, firewalls y auditorías de sistemas.",Tecnología / Informática
"Ingeniero de software con 5 años de experiencia en backend usando Node.js, MongoDB y AWS.",Tecnología / Informática
"Ingeniero de software con 5 años de experiencia en backend usando Node.js, MongoDB y AWS.",Tecnología / Informática
"Especialista en ciberseguridad con conocimientos en redes, firewalls y auditorías de sistemas.",Tecnología / Informática
"Desarrollador con experiencia en Python, Java y bases de datos SQL. Trabajé en proyectos de desarrollo web y aplicaciones móviles.",Tecnología / Informática
"Desarrollador con experiencia en Python, Java y bases de datos SQL. Trabajé en proyectos de desarrollo web y aplicaciones móviles.",Tecnología / Informática
"Especialista en ciberseguridad con conocimientos en redes, firewalls y auditorías de sistemas.",Tecnología / Informática
"Desarrollador con experiencia en Python, Java y bases de datos SQL. Trabajé en proyectos de desarrollo web y aplicaciones móviles.",Tecnología / Informática
"Ingeniero de software con 5 años de experiencia en backend usando Node.js, MongoDB y AWS.",Tecnología / Informática
"Especialista en ciberseguridad con conocimientos en redes, firewalls y auditorías de sistemas.",Tecnología / Informática
"Desarrollador con experiencia en Python, Java y bases de datos SQL. Trabajé en proyectos de desarrollo web y aplicaciones móviles.",Tecnología / Informática
"Desarrollador con experiencia en Python, Java y bases de datos SQL. Trabajé en proyectos de desarrollo web y aplicaciones móviles.",Tecnología / Informática
Técnico en radiología con experiencia en resonancias magnéticas y tomografías.,Salud
Médico general con enfoque en medicina preventiva y experiencia en centros de salud pública.,Salud
Médico general con enfoque en medicina preventiva y experiencia en centros de salud pública.,Salud
Técnico en radiología con experiencia en resonancias magnéticas y tomografías.,Salud
Médico general con enfoque en medicina preventiva y experiencia en centros de salud pública.,Salud
Médico general con enfoque en medicina preventiva y experiencia en centros de salud pública.,Salud
Técnico en radiología con experiencia en resonancias magnéticas y tomografías.,Salud
Técnico en radiología con experiencia en resonancias magnéticas y tomografías.,Salud
